Time,Source IP,Destination IP,Protocol,Length,TTL,Source Port,Destination Port,TCP Flags,Content-Type,Host,User-Agent
2025-02-11 20:52:42.316895008,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.316895008,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.317008018,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.317835093,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.317864895,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.319868088,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.319868088,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.319868088,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.319868088,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.319897890,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.320791960,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
